trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.01, 'e': 0.9999500004166653}",20,0,-187.2783128319188,"{0: 12, 1: 1, 2: 3, 3: 0, 4: 4}",0
2,False,"{'a': 0.01, 'e': 0.9998000066665778}",20,0,-171.40284238816068,"{0: 10, 1: 3, 2: 3, 3: 1, 4: 3}",0
3,False,"{'a': 0.01, 'e': 0.9995500337489875}",20,0,-66.7712099844095,"{0: 9, 1: 8, 2: 2, 3: 1, 4: 0}",0
4,False,"{'a': 0.01, 'e': 0.9992001066609779}",30,0,-152.35597124851193,"{0: 16, 1: 6, 2: 4, 3: 3, 4: 1}",0
5,False,"{'a': 0.01, 'e': 0.9987502603949663}",20,0,-101.80460575889738,"{0: 12, 1: 0, 2: 6, 3: 1, 4: 1}",0
6,False,"{'a': 0.01, 'e': 0.9982005399352042}",20,4,-78.47420043631519,"{0: 9, 1: 2, 2: 4, 3: 0, 4: 1}",1
7,False,"{'a': 0.01, 'e': 0.9975510002532796}",20,0,-98.64057043472395,"{0: 10, 1: 6, 2: 2, 3: 1, 4: 1}",0
8,False,"{'a': 0.01, 'e': 0.9968017063026194}",25,0,-129.87429039590987,"{0: 15, 1: 2, 2: 6, 3: 0, 4: 2}",0
9,False,"{'a': 0.01, 'e': 0.9959527330119943}",30,0,-147.53400666358598,"{0: 20, 1: 3, 2: 3, 3: 2, 4: 2}",0
10,False,"{'a': 0.01, 'e': 0.9950041652780257}",25,0,-187.93737096328115,"{0: 13, 1: 1, 2: 8, 3: 0, 4: 3}",0
11,False,"{'a': 0.01, 'e': 0.9939560979566968}",20,0,-133.65223890110366,"{0: 11, 1: 3, 2: 3, 3: 1, 4: 2}",0
12,False,"{'a': 0.01, 'e': 0.9928086358538663}",30,0,-128.57970168946224,"{0: 18, 1: 3, 2: 7, 3: 1, 4: 1}",0
13,False,"{'a': 0.01, 'e': 0.9915618937147881}",25,0,-113.49435872901726,"{0: 17, 1: 1, 2: 5, 3: 0, 4: 2}",0
14,False,"{'a': 0.01, 'e': 0.9902159962126371}",25,3,-71.21981466952116,"{0: 13, 1: 3, 2: 5, 3: 1, 4: 0}",1
15,False,"{'a': 0.01, 'e': 0.9887710779360422}",25,0,-211.76341897221988,"{0: 11, 1: 1, 2: 10, 3: 0, 4: 3}",0
16,False,"{'a': 0.01, 'e': 0.9872272833756269}",35,0,-202.6515804708191,"{0: 19, 1: 6, 2: 7, 3: 0, 4: 3}",0
