trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-135.74475005849666,"{0: 11, 1: 1, 2: 4, 3: 3, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-173.61868383932094,"{0: 11, 1: 3, 2: 7, 3: 3, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-145.49074992269095,"{0: 13, 1: 7, 2: 2, 3: 1, 4: 2}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-105.41483805414698,"{0: 13, 1: 2, 2: 1, 3: 3, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-207.7879080153407,"{0: 11, 1: 4, 2: 6, 3: 1, 4: 3}",0
6,False,"{'a': 0.5, 'e': 1.0}",30,0,-189.36883795859993,"{0: 18, 1: 1, 2: 6, 3: 3, 4: 2}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-62.38236818535448,"{0: 18, 1: 1, 2: 4, 3: 2, 4: 0}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-144.59286999878663,"{0: 18, 1: 2, 2: 1, 3: 1, 4: 3}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-107.91695239619114,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-106.45813666588724,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-162.6478229185503,"{0: 13, 1: 3, 2: 5, 3: 2, 4: 2}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-103.8221332742321,"{0: 12, 1: 0, 2: 7, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-154.8222885948989,"{0: 10, 1: 2, 2: 4, 3: 2, 4: 2}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-111.90661996665074,"{0: 18, 1: 2, 2: 2, 3: 1, 4: 2}",0
15,False,"{'a': 0.5, 'e': 1.0}",30,0,-127.92133773922914,"{0: 20, 1: 1, 2: 6, 3: 2, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-151.08736110249453,"{0: 10, 1: 3, 2: 3, 3: 2, 4: 2}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-88.72322557424575,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-36.16365786107052,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-72.98867973119108,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-174.10487764098696,"{0: 12, 1: 2, 2: 8, 3: 1, 4: 2}",0
